"filename", "language", "C++", "comment", "blank", "total"
"f:\VSCode\Practice_1\Chapter_1\!!!4_Sin And Cos\Sin And Cos.cpp", "C++", -12, 0, -2, -14
"f:\VSCode\Practice_1\Chapter_1\4_Sin And Cos\Sin And Cos.cpp", "C++", 11, 1, 2, 14
"f:\VSCode\Practice_1\Chapter_1\5_Discount\Discount.cpp", "C++", 17, 0, 2, 19
"f:\VSCode\Practice_1\Chapter_1\6_Triangle\Triangle.cpp", "C++", 29, 2, 3, 34
"f:\VSCode\Practice_1\Chapter_1\7_Year\Year.cpp", "C++", 28, 0, 2, 30
"f:\VSCode\Practice_1\Chapter_2\1_Daffodil\Daffodil.cpp", "C++", 15, 1, 2, 18
"f:\VSCode\Practice_1\Chapter_2\2_Hanxin\Hanxin.cpp", "C++", 27, 1, 2, 30
"f:\VSCode\Practice_1\Chapter_2\3_Triangle\Triangle.cpp", "C++", 23, 1, 2, 26
"f:\VSCode\Practice_1\Chapter_2\4_Subsequence\Subsequence.cpp", "C++", 36, 0, 2, 38
"f:\VSCode\Practice_1\Chapter_2\5_Decimal\Decimal.cpp", "C++", 7, 0, 2, 9
"f:\VSCode\change_world.c++", "C++", 1, 0, 0, 1
"Total", "-", 182, 6, 17, 205
